date,product_sku,product_name,category,transaction_type,quantity_change,location,day_of_week,month,quarter,year
2013-03-01,PRD-00354,Control Unit Variant 14,Components,DELIVERY,-80.0,Production Floor 1,4,3,1,2013
2013-03-01,PRD-00259,Bearing Type 1 Variant 19,Components,DELIVERY,-69.0,Production Floor 1,4,3,1,2013
2013-03-19,PRD-00114,Stainless Steel Variant 9,Raw Materials,DELIVERY,-80.0,Main Warehouse,1,3,1,2013
2013-03-20,PRD-00259,Bearing Type 1 Variant 19,Components,TRANSFER,-57.0,Production Floor 1,2,3,1,2013
2013-08-04,PRD-00337,Sensor Module Variant 17,Components,DELIVERY,-45.0,Rack A,6,8,3,2013
2013-08-04,PRD-00097,Carbon Fiber Variant 7,Raw Materials,DELIVERY,-53.13,Rack A,6,8,3,2013
2013-08-25,PRD-00259,Bearing Type 1 Variant 19,Components,DELIVERY,-45.36,Production Floor 1,6,8,3,2013
2013-09-11,PRD-00095,Carbon Fiber Variant 5,Raw Materials,DELIVERY,-62.0,Main Warehouse,2,9,3,2013
2013-10-21,PRD-00430,Packaging Tape Variant 8,Consumables,DELIVERY,-66.3,Main Warehouse,0,10,4,2013
2013-11-14,PRD-00345,Control Unit Variant 5,Components,DELIVERY,-18.9,Rack A,3,11,4,2013
2013-11-16,PRD-00171,Assembly Unit X Variant 11,Finished Goods,DELIVERY,-10.0,Main Warehouse,5,11,4,2013
2013-11-16,PRD-00091,Carbon Fiber,Raw Materials,DELIVERY,-52.0,Main Warehouse,5,11,4,2013
2013-11-19,PRD-00336,Sensor Module Variant 16,Components,RECEIPT,245.0,Rack B,1,11,4,2013
2013-11-19,PRD-00097,Carbon Fiber Variant 7,Raw Materials,DELIVERY,-37.191,Rack A,1,11,4,2013
2013-11-19,PRD-00345,Control Unit Variant 5,Components,TRANSFER,-17.64,Rack A,1,11,4,2013
2013-11-19,PRD-00345,Control Unit Variant 5,Components,TRANSFER,17.64,Production Floor 1,1,11,4,2013
2013-12-05,PRD-00336,Sensor Module Variant 16,Components,DELIVERY,-26.0,Rack B,3,12,4,2013
2013-12-05,PRD-00247,Bearing Type 1 Variant 7,Components,DELIVERY,-87.0,Rack B,3,12,4,2013
2013-12-07,PRD-00345,Control Unit Variant 5,Components,DELIVERY,-45.0,Production Floor 1,5,12,4,2013
2013-12-07,PRD-00201,Premium Widget,Finished Goods,DELIVERY,-23.0,Production Floor 1,5,12,4,2013
2013-12-15,PRD-00430,Packaging Tape Variant 8,Consumables,DELIVERY,-46.41,Main Warehouse,6,12,4,2013
2013-12-15,PRD-00416,Cleaning Solution Variant 25,Consumables,DELIVERY,-31.0,Main Warehouse,6,12,4,2013
2014-01-01,PRD-00355,Control Unit Variant 15,Components,DELIVERY,-29.82,Production Floor 1,2,1,1,2014
2014-01-04,PRD-00247,Bearing Type 1 Variant 7,Components,DELIVERY,-23.0,Rack B,5,1,1,2014
2014-01-04,PRD-00315,Motor 12V Variant 15,Components,DELIVERY,-18.0,Rack B,5,1,1,2014
2014-01-13,PRD-00090,Titanium Alloy Variant 15,Raw Materials,TRANSFER,-35.0,Rack B,0,1,1,2014
2014-01-13,PRD-00090,Titanium Alloy Variant 15,Raw Materials,TRANSFER,35.0,Rack A,0,1,1,2014
2014-01-14,PRD-00097,Carbon Fiber Variant 7,Raw Materials,DELIVERY,-26.0337,Rack A,1,1,1,2014
2014-01-14,PRD-00337,Sensor Module Variant 17,Components,DELIVERY,-56.0,Rack A,1,1,1,2014
2014-01-26,PRD-00430,Packaging Tape Variant 8,Consumables,DELIVERY,-12.0,Main Warehouse,6,1,1,2014
2014-01-26,PRD-00328,Sensor Module Variant 8,Components,DELIVERY,-10.0,Main Warehouse,6,1,1,2014
2013-09-11,PRD-00113,Stainless Steel Variant 8,Raw Materials,DELIVERY,-12.0,Main Warehouse,2,9,3,2013
2013-09-13,PRD-00416,Cleaning Solution Variant 25,Consumables,TRANSFER,-44.8,Rack B,4,9,3,2013
2013-09-13,PRD-00416,Cleaning Solution Variant 25,Consumables,TRANSFER,44.8,Production Floor 1,4,9,3,2013
2013-09-20,PRD-00416,Cleaning Solution Variant 25,Consumables,DELIVERY,-33.0,Main Warehouse,4,9,3,2013
2013-09-20,PRD-00343,Control Unit Variant 3,Components,DELIVERY,-71.0,Main Warehouse,4,9,3,2013
2013-09-24,PRD-00345,Control Unit Variant 5,Components,TRANSFER,-63.0,Production Floor 1,1,9,3,2013
2013-09-24,PRD-00345,Control Unit Variant 5,Components,TRANSFER,63.0,Rack A,1,9,3,2013
2013-10-01,PRD-00416,Cleaning Solution Variant 25,Consumables,DELIVERY,-20.16,Rack B,1,10,4,2013
2013-10-01,PRD-00315,Motor 12V Variant 15,Components,DELIVERY,-77.0,Rack B,1,10,4,2013
2013-10-01,PRD-00143,Widget Model B Variant 3,Finished Goods,DELIVERY,-72.0,Rack B,1,10,4,2013
2013-10-02,PRD-00090,Titanium Alloy Variant 15,Raw Materials,TRANSFER,-62.0,Rack B,2,10,4,2013
2013-10-02,PRD-00090,Titanium Alloy Variant 15,Raw Materials,TRANSFER,62.0,Rack A,2,10,4,2013
2013-10-04,PRD-00090,Titanium Alloy Variant 15,Raw Materials,TRANSFER,-24.8,Rack A,4,10,4,2013
2013-10-04,PRD-00090,Titanium Alloy Variant 15,Raw Materials,TRANSFER,24.8,Production Floor 1,4,10,4,2013
2013-10-17,PRD-00315,Motor 12V Variant 15,Components,DELIVERY,-56.4,Rack B,3,10,4,2013
2013-10-17,PRD-00090,Titanium Alloy Variant 15,Raw Materials,DELIVERY,-10.0,Rack B,3,10,4,2013
2013-10-21,PRD-00091,Carbon Fiber,Raw Materials,DELIVERY,-11.0,Main Warehouse,0,10,4,2013
2014-01-28,PRD-00337,Sensor Module Variant 17,Components,ADJUSTMENT,-4.0,Rack A,1,1,1,2014
2014-02-17,PRD-00259,Bearing Type 1 Variant 19,Components,TRANSFER,-42.336,Production Floor 1,0,2,1,2014
2014-02-17,PRD-00259,Bearing Type 1 Variant 19,Components,TRANSFER,42.336,Main Warehouse,0,2,1,2014
2014-04-11,PRD-00359,Control Unit Variant 19,Components,DELIVERY,-76.0,Main Warehouse,4,4,2,2014
2014-04-12,PRD-00053,Plastic Pellets Variant 8,Raw Materials,DELIVERY,-40.0,Production Floor 1,5,4,2,2014
2014-05-01,PRD-00163,Assembly Unit X Variant 3,Finished Goods,RECEIPT,58.0,Rack B,3,5,2,2014
2014-05-01,PRD-00060,Plastic Pellets Variant 15,Raw Materials,RECEIPT,347.0,Rack B,3,5,2,2014
2014-05-01,PRD-00208,Premium Widget Variant 8,Finished Goods,RECEIPT,144.0,Rack B,3,5,2,2014
2014-05-01,PRD-00076,Titanium Alloy,Raw Materials,RECEIPT,271.0,Rack B,3,5,2,2014
2014-05-01,PRD-00320,Motor 12V Variant 20,Components,RECEIPT,97.0,Rack B,3,5,2,2014
2014-05-05,PRD-00345,Control Unit Variant 5,Components,DELIVERY,-58.992,Production Floor 1,0,5,2,2014
2014-05-22,PRD-00483,Adhesive Variant 30,Consumables,RECEIPT,51.0,Rack B,3,5,2,2014
2014-05-22,PRD-00147,Widget Model B Variant 7,Finished Goods,RECEIPT,498.0,Rack B,3,5,2,2014
2014-06-16,PRD-00198,Assembly Unit Y Variant 18,Finished Goods,RECEIPT,326.0,Main Warehouse,0,6,2,2014
2014-06-24,PRD-00140,Widget Model A Variant 20,Finished Goods,TRANSFER,-24.92,Main Warehouse,1,6,2,2014
2014-06-24,PRD-00140,Widget Model A Variant 20,Finished Goods,TRANSFER,24.92,Rack B,1,6,2,2014
2014-07-01,PRD-00250,Bearing Type 1 Variant 10,Components,TRANSFER,-73.0,Main Warehouse,1,7,3,2014
2014-07-01,PRD-00250,Bearing Type 1 Variant 10,Components,TRANSFER,73.0,Rack B,1,7,3,2014
2014-07-03,PRD-00097,Carbon Fiber Variant 7,Raw Materials,ADJUSTMENT,-1.0,Rack A,3,7,3,2014
2014-07-08,PRD-00416,Cleaning Solution Variant 25,Consumables,TRANSFER,-18.816,Rack B,1,7,3,2014
2014-07-08,PRD-00416,Cleaning Solution Variant 25,Consumables,TRANSFER,18.816,Rack A,1,7,3,2014
2014-07-09,PRD-00416,Cleaning Solution Variant 25,Consumables,TRANSFER,-17.92,Production Floor 1,2,7,3,2014
2014-07-09,PRD-00416,Cleaning Solution Variant 25,Consumables,TRANSFER,17.92,Rack B,2,7,3,2014
2014-07-26,PRD-00113,Stainless Steel Variant 8,Raw Materials,DELIVERY,-57.0,Main Warehouse,5,7,3,2014
2014-07-26,PRD-00294,Circuit Board Variant 14,Components,DELIVERY,-27.6,Main Warehouse,5,7,3,2014
2014-08-11,PRD-00143,Widget Model B Variant 3,Finished Goods,DELIVERY,-52.5,Rack B,0,8,3,2014
2014-02-22,PRD-00337,Sensor Module Variant 17,Components,DELIVERY,-49.0,Rack A,5,2,1,2014
2014-02-22,PRD-00097,Carbon Fiber Variant 7,Raw Materials,DELIVERY,-18.2236,Rack A,5,2,1,2014
2014-02-22,PRD-00090,Titanium Alloy Variant 15,Raw Materials,DELIVERY,-21.66,Rack A,5,2,1,2014
2014-02-24,PRD-00090,Titanium Alloy Variant 15,Raw Materials,DELIVERY,-30.0,Rack B,0,2,1,2014
2014-02-24,PRD-00315,Motor 12V Variant 15,Components,DELIVERY,-34.08,Rack B,0,2,1,2014
2014-02-24,PRD-00336,Sensor Module Variant 16,Components,DELIVERY,-21.0,Rack B,0,2,1,2014
2014-02-26,PRD-00337,Sensor Module Variant 17,Components,DELIVERY,-50.4,Rack A,2,2,1,2014
2014-02-26,PRD-00090,Titanium Alloy Variant 15,Raw Materials,DELIVERY,-15.162,Rack A,2,2,1,2014
2014-03-03,PRD-00343,Control Unit Variant 3,Components,TRANSFER,-26.0,Main Warehouse,0,3,1,2014
2014-03-03,PRD-00343,Control Unit Variant 3,Components,TRANSFER,26.0,Production Floor 1,0,3,1,2014
2014-03-04,PRD-00386,Lubricant Oil Variant 26,Consumables,RECEIPT,151.0,Production Floor 1,1,3,1,2014
2014-03-04,PRD-00053,Plastic Pellets Variant 8,Raw Materials,RECEIPT,231.0,Production Floor 1,1,3,1,2014
2014-03-04,PRD-00340,Sensor Module Variant 20,Components,RECEIPT,413.0,Production Floor 1,1,3,1,2014
2014-03-20,PRD-00201,Premium Widget,Finished Goods,DELIVERY,-17.4,Production Floor 1,3,3,1,2014
2014-04-04,PRD-00140,Widget Model A Variant 20,Finished Goods,DELIVERY,-26.7,Main Warehouse,4,4,2,2014
2014-04-04,PRD-00250,Bearing Type 1 Variant 10,Components,DELIVERY,-100.0,Main Warehouse,4,4,2,2014
2014-04-04,PRD-00430,Packaging Tape Variant 8,Consumables,DELIVERY,-28.887,Main Warehouse,4,4,2,2014
2014-04-11,PRD-00430,Packaging Tape Variant 8,Consumables,DELIVERY,-20.2209,Main Warehouse,4,4,2,2014
2014-08-11,PRD-00208,Premium Widget Variant 8,Finished Goods,DELIVERY,-43.2,Rack B,0,8,3,2014
2014-08-13,PRD-00337,Sensor Module Variant 17,Components,DELIVERY,-35.28,Rack A,2,8,3,2014
2014-09-12,PRD-00259,Bearing Type 1 Variant 19,Components,DELIVERY,-19.0512,Production Floor 1,4,9,3,2014
2014-10-08,PRD-00203,Premium Widget Variant 3,Finished Goods,RECEIPT,228.0,Production Floor 1,2,10,4,2014
2014-10-08,PRD-00188,Assembly Unit Y Variant 8,Finished Goods,RECEIPT,191.0,Production Floor 1,2,10,4,2014
2014-10-23,PRD-00091,Carbon Fiber,Raw Materials,DELIVERY,-87.0,Main Warehouse,3,10,4,2014
2014-10-23,PRD-00353,Control Unit Variant 13,Components,DELIVERY,-14.0,Main Warehouse,3,10,4,2014
2014-11-06,PRD-00337,Sensor Module Variant 17,Components,DELIVERY,-17.2872,Rack A,3,11,4,2014
2014-11-11,PRD-00004,Steel Rods Variant 4,Raw Materials,DELIVERY,-22.0,Production Floor 1,1,11,4,2014
2014-11-15,PRD-00290,Circuit Board Variant 10,Components,DELIVERY,-29.0,Production Floor 1,5,11,4,2014
2014-11-15,PRD-00386,Lubricant Oil Variant 26,Consumables,DELIVERY,-45.3,Production Floor 1,5,11,4,2014
2014-11-15,PRD-00124,Widget Model A Variant 4,Finished Goods,DELIVERY,-59.0,Production Floor 1,5,11,4,2014
2014-11-16,PRD-00066,Rubber Compound Variant 6,Raw Materials,DELIVERY,-18.3,Main Warehouse,6,11,4,2014
2014-11-16,PRD-00328,Sensor Module Variant 8,Components,DELIVERY,-90.0,Main Warehouse,6,11,4,2014
2014-11-18,PRD-00336,Sensor Module Variant 16,Components,DELIVERY,-53.1,Rack B,1,11,4,2014
2014-11-18,PRD-00320,Motor 12V Variant 20,Components,DELIVERY,-20.37,Rack B,1,11,4,2014
2014-11-21,PRD-00090,Titanium Alloy Variant 15,Raw Materials,TRANSFER,-14.1512,Rack A,4,11,4,2014
2014-11-21,PRD-00090,Titanium Alloy Variant 15,Raw Materials,TRANSFER,14.1512,Production Floor 1,4,11,4,2014
2014-12-07,PRD-00261,Bolt M8,Components,DELIVERY,-91.0,Production Floor 1,6,12,4,2014
2014-12-07,PRD-00355,Control Unit Variant 15,Components,DELIVERY,-20.874,Production Floor 1,6,12,4,2014
2014-12-09,PRD-00290,Circuit Board Variant 10,Components,DELIVERY,-31.0,Production Floor 1,1,12,4,2014
2014-12-09,PRD-00250,Bearing Type 1 Variant 10,Components,TRANSFER,-29.2,Rack B,1,12,4,2014
2014-12-09,PRD-00250,Bearing Type 1 Variant 10,Components,TRANSFER,29.2,Main Warehouse,1,12,4,2014
2014-12-10,PRD-00007,Steel Rods Variant 7,Raw Materials,RECEIPT,151.0,Main Warehouse,2,12,4,2014
2014-12-10,PRD-00092,Carbon Fiber Variant 2,Raw Materials,RECEIPT,117.0,Main Warehouse,2,12,4,2014
2014-12-15,PRD-00294,Circuit Board Variant 14,Components,TRANSFER,-25.76,Main Warehouse,0,12,4,2014
2014-09-19,PRD-00337,Sensor Module Variant 17,Components,DELIVERY,-24.696,Rack A,4,9,3,2014
2014-09-24,PRD-00410,Cleaning Solution Variant 19,Consumables,RECEIPT,100.0,Production Floor 1,2,9,3,2014
2014-09-24,PRD-00469,Adhesive Variant 16,Consumables,RECEIPT,179.0,Production Floor 1,2,9,3,2014
2014-09-24,PRD-00019,Aluminum Sheets Variant 4,Raw Materials,RECEIPT,86.0,Production Floor 1,2,9,3,2014
2014-09-24,PRD-00004,Steel Rods Variant 4,Raw Materials,RECEIPT,355.0,Production Floor 1,2,9,3,2014
2014-09-24,PRD-00124,Widget Model A Variant 4,Finished Goods,RECEIPT,145.0,Production Floor 1,2,9,3,2014
2014-09-25,PRD-00336,Sensor Module Variant 16,Components,DELIVERY,-21.0,Rack B,3,9,3,2014
2014-09-25,PRD-00320,Motor 12V Variant 20,Components,DELIVERY,-29.1,Rack B,3,9,3,2014
2014-09-25,PRD-00090,Titanium Alloy Variant 15,Raw Materials,DELIVERY,-21.0,Rack B,3,9,3,2014
2014-09-26,PRD-00124,Widget Model A Variant 4,Finished Goods,RECEIPT,75.0,Production Floor 1,4,9,3,2014
2014-09-26,PRD-00114,Stainless Steel Variant 9,Raw Materials,RECEIPT,418.0,Production Floor 1,4,9,3,2014
2014-09-26,PRD-00284,Circuit Board Variant 4,Components,RECEIPT,132.0,Production Floor 1,4,9,3,2014
2014-09-26,PRD-00290,Circuit Board Variant 10,Components,RECEIPT,439.0,Production Floor 1,4,9,3,2014
2014-09-26,PRD-00261,Bolt M8,Components,RECEIPT,428.0,Production Floor 1,4,9,3,2014
2014-09-29,PRD-00066,Rubber Compound Variant 6,Raw Materials,RECEIPT,61.0,Main Warehouse,0,9,3,2014
2014-09-29,PRD-00353,Control Unit Variant 13,Components,RECEIPT,58.0,Main Warehouse,0,9,3,2014
2014-09-30,PRD-00087,Titanium Alloy Variant 12,Raw Materials,RECEIPT,236.0,Main Warehouse,1,9,3,2014
2014-10-07,PRD-00060,Plastic Pellets Variant 15,Raw Materials,DELIVERY,-60.0,Rack B,1,10,4,2014
2014-10-08,PRD-00467,Adhesive Variant 14,Consumables,RECEIPT,472.0,Production Floor 1,2,10,4,2014
2014-12-15,PRD-00294,Circuit Board Variant 14,Components,TRANSFER,25.76,Rack A,0,12,4,2014
2014-12-24,PRD-00097,Carbon Fiber Variant 7,Raw Materials,TRANSFER,-16.6087,Rack A,2,12,4,2014
2014-12-24,PRD-00097,Carbon Fiber Variant 7,Raw Materials,TRANSFER,16.6087,Rack B,2,12,4,2014
2015-03-23,PRD-00133,Widget Model A Variant 13,Finished Goods,RECEIPT,254.0,Rack A,0,3,1,2015
2015-03-23,PRD-00051,Plastic Pellets Variant 6,Raw Materials,RECEIPT,310.0,Rack A,0,3,1,2015
2015-03-25,PRD-00330,Sensor Module Variant 10,Components,RECEIPT,87.0,Production Floor 1,2,3,1,2015
2015-03-25,PRD-00265,Bolt M8 Variant 5,Components,RECEIPT,355.0,Production Floor 1,2,3,1,2015
2015-03-25,PRD-00230,Industrial Unit Variant 10,Finished Goods,RECEIPT,348.0,Production Floor 1,2,3,1,2015
2015-03-25,PRD-00024,Aluminum Sheets Variant 9,Raw Materials,RECEIPT,107.0,Production Floor 1,2,3,1,2015
2015-04-04,PRD-00166,Assembly Unit X Variant 6,Finished Goods,DELIVERY,-26.1,Production Floor 1,5,4,2,2015
2015-04-04,PRD-00330,Sensor Module Variant 10,Components,DELIVERY,-19.0,Production Floor 1,5,4,2,2015
2015-04-12,PRD-00051,Plastic Pellets Variant 6,Raw Materials,DELIVERY,-88.0,Rack A,6,4,2,2015
2015-04-12,PRD-00133,Widget Model A Variant 13,Finished Goods,DELIVERY,-76.2,Rack A,6,4,2,2015
2015-04-12,PRD-00217,Premium Widget Variant 17,Finished Goods,DELIVERY,-44.4,Rack A,6,4,2,2015
2014-12-29,PRD-00092,Carbon Fiber Variant 2,Raw Materials,DELIVERY,-35.1,Main Warehouse,0,12,4,2014
2014-12-29,PRD-00328,Sensor Module Variant 8,Components,DELIVERY,-73.0,Main Warehouse,0,12,4,2014
2014-12-29,PRD-00198,Assembly Unit Y Variant 18,Finished Goods,DELIVERY,-68.0,Main Warehouse,0,12,4,2014
2014-12-30,PRD-00147,Widget Model B Variant 7,Finished Goods,DELIVERY,-38.0,Rack B,1,12,4,2014
2015-01-03,PRD-00092,Carbon Fiber Variant 2,Raw Materials,DELIVERY,-24.57,Main Warehouse,5,1,1,2015
2015-01-03,PRD-00343,Control Unit Variant 3,Components,DELIVERY,-21.0,Main Warehouse,5,1,1,2015
2015-01-17,PRD-00113,Stainless Steel Variant 8,Raw Materials,DELIVERY,-76.0,Main Warehouse,5,1,1,2015
2015-01-17,PRD-00007,Steel Rods Variant 7,Raw Materials,DELIVERY,-45.3,Main Warehouse,5,1,1,2015
2015-01-23,PRD-00019,Aluminum Sheets Variant 4,Raw Materials,DELIVERY,-25.8,Production Floor 1,4,1,1,2015
2015-01-23,PRD-00124,Widget Model A Variant 4,Finished Goods,DELIVERY,-48.3,Production Floor 1,4,1,1,2015
2015-01-28,PRD-00171,Assembly Unit X Variant 11,Finished Goods,DELIVERY,-62.0,Main Warehouse,2,1,1,2015
2015-02-16,PRD-00416,Cleaning Solution Variant 25,Consumables,TRANSFER,-26.0,Main Warehouse,0,2,1,2015
2015-02-16,PRD-00416,Cleaning Solution Variant 25,Consumables,TRANSFER,26.0,Rack A,0,2,1,2015
2015-02-25,PRD-00345,Control Unit Variant 5,Components,DELIVERY,-41.2944,Production Floor 1,2,2,1,2015
2015-02-25,PRD-00261,Bolt M8,Components,DELIVERY,-76.0,Production Floor 1,2,2,1,2015
2015-02-25,PRD-00469,Adhesive Variant 16,Consumables,DELIVERY,-21.0,Production Floor 1,2,2,1,2015
2015-03-23,PRD-00217,Premium Widget Variant 17,Finished Goods,RECEIPT,148.0,Rack A,0,3,1,2015
2015-03-23,PRD-00119,Stainless Steel Variant 14,Raw Materials,RECEIPT,443.0,Rack A,0,3,1,2015
2015-04-15,PRD-00284,Circuit Board Variant 4,Components,DELIVERY,-33.0,Production Floor 1,2,4,2,2015
2015-04-15,PRD-00354,Control Unit Variant 14,Components,DELIVERY,-54.0,Production Floor 1,2,4,2,2015
2015-04-15,PRD-00166,Assembly Unit X Variant 6,Finished Goods,DELIVERY,-18.27,Production Floor 1,2,4,2,2015
2015-04-16,PRD-00483,Adhesive Variant 30,Consumables,DELIVERY,-15.3,Rack B,3,4,2,2015
2015-04-16,PRD-00143,Widget Model B Variant 3,Finished Goods,DELIVERY,-34.0,Rack B,3,4,2,2015
2015-04-16,PRD-00247,Bearing Type 1 Variant 7,Components,DELIVERY,-70.8,Rack B,3,4,2,2015
2015-04-17,PRD-00343,Control Unit Variant 3,Components,DELIVERY,-69.0,Main Warehouse,4,4,2,2015
2015-04-17,PRD-00090,Titanium Alloy Variant 15,Raw Materials,TRANSFER,-19.6,Rack B,4,4,2,2015
2015-04-17,PRD-00090,Titanium Alloy Variant 15,Raw Materials,TRANSFER,19.6,Production Floor 1,4,4,2,2015
2015-04-21,PRD-00483,Adhesive Variant 30,Consumables,TRANSFER,-14.28,Rack B,1,4,2,2015
2015-04-21,PRD-00483,Adhesive Variant 30,Consumables,TRANSFER,14.28,Rack A,1,4,2,2015
2015-04-26,PRD-00217,Premium Widget Variant 17,Finished Goods,DELIVERY,-31.08,Rack A,6,4,2,2015
2015-04-26,PRD-00119,Stainless Steel Variant 14,Raw Materials,DELIVERY,-15.0,Rack A,6,4,2,2015
2015-05-09,PRD-00119,Stainless Steel Variant 14,Raw Materials,DELIVERY,-43.0,Rack A,5,5,2,2015
2015-05-09,PRD-00133,Widget Model A Variant 13,Finished Goods,DELIVERY,-53.34,Rack A,5,5,2,2015
2015-05-13,PRD-00217,Premium Widget Variant 17,Finished Goods,DELIVERY,-21.756,Rack A,2,5,2,2015
2015-05-13,PRD-00133,Widget Model A Variant 13,Finished Goods,DELIVERY,-16.0,Rack A,2,5,2,2015
2015-05-13,PRD-00119,Stainless Steel Variant 14,Raw Materials,DELIVERY,-82.0,Rack A,2,5,2,2015
2015-05-20,PRD-00406,Cleaning Solution Variant 15,Consumables,RECEIPT,347.0,Rack B,2,5,2,2015
2015-05-26,PRD-00129,Widget Model A Variant 9,Finished Goods,RECEIPT,275.0,Production Floor 1,1,5,2,2015
2015-05-26,PRD-00051,Plastic Pellets Variant 6,Raw Materials,RECEIPT,402.0,Production Floor 1,1,5,2,2015
2015-05-26,PRD-00129,Widget Model A Variant 9,Finished Goods,DELIVERY,-70.0,Production Floor 1,1,5,2,2015
2015-05-27,PRD-00359,Control Unit Variant 19,Components,DELIVERY,-27.0,Main Warehouse,2,5,2,2015
2015-05-27,PRD-00328,Sensor Module Variant 8,Components,DELIVERY,-35.0,Main Warehouse,2,5,2,2015
2015-06-02,PRD-00406,Cleaning Solution Variant 15,Consumables,RECEIPT,140.0,Rack A,1,6,2,2015
2015-06-02,PRD-00081,Titanium Alloy Variant 6,Raw Materials,RECEIPT,364.0,Rack A,1,6,2,2015
2015-06-02,PRD-00393,Cleaning Solution Variant 2,Consumables,RECEIPT,280.0,Rack A,1,6,2,2015
2015-06-26,PRD-00038,Copper Wire Variant 8,Raw Materials,RECEIPT,422.0,Production Floor 1,4,6,2,2015
2015-06-26,PRD-00193,Assembly Unit Y Variant 13,Finished Goods,RECEIPT,364.0,Production Floor 1,4,6,2,2015
